"";"Samples";"MMP1";"MYO1B";"LAPTM4B";"MAL";"KRT4";"MYO10";"SPP1";"EXT1";"HPGD";"MGST2";"AIM1";"Class"
"43";"GSM44814";0,0598783463993993;-0,158174273143568;0,0858590365777167;-0,113134755498675;0,0895291297802356;-0,173791691026627;0,801454701628724;-0,147342478311818;-0,198545298371276;-0,0729701032929934;-0,172762614741118;"HNSCC"
"44";"GSM44816";-0,0287569808961723;0,0189386882151232;0,261007758860946;-0,154093611373298;-0,0363025847985452;-0,201772343102097;0,759661236952441;-0,109421265037701;-0,240338763047559;-0,138672124609863;-0,130250011163275;"HNSCC"
"45";"GSM44817";0,215151350890914;-0,228935161882342;-0,0680517589846442;-0,133826866041491;-0,0246559855037673;-0,26449429675461;0,734034397577766;0,153015789432928;-0,265965602422234;0,0910815645399847;-0,207353430852506;"HNSCC"
"46";"GSM44819";0,0303431337218005;-0,142786097235082;0,106344841351245;0,52009125837875;0,656164930391923;-0,232509827185683;-0,13599827019355;-0,14731131526277;-0,343835069608077;-0,202553127789452;-0,107950456569106;"HNSCC"
"47";"GSM44822";0,733692987336282;0,0650253180073738;0,230412725952608;-0,266307012663718;-0,181461042328691;-0,158175076142611;0,0848430236395696;-0,0954222496723275;-0,265347568622644;-0,139141780841293;-0,0081193246645482;"HNSCC"
"48";"GSM44824";0,0435625178094498;-0,00784400612403587;0,189288491352456;-0,194311359893361;-0,0215971273055691;-0,159832265168822;0,776137027717541;-0,0539910071334393;-0,223862972282459;-0,156711083635591;-0,19083821533617;"HNSCC"
"49";"GSM44829";-0,0277415364143401;0,000961623428265491;0,567997172307324;-0,270496873424367;0,0398112099301913;-0,262294485479486;0,706039514925955;-0,238570975605953;-0,293960485074045;-0,132438936912305;-0,0893062276812401;"HNSCC"
"50";"GSM44832";0,0416019472607532;-0,104493646304649;0,177382442965366;-0,165545206370661;-0,118676905863235;-0,126647663301117;0,808845959167535;-0,0795881139697171;-0,191154040832465;-0,103364661311513;-0,138360111440297;"HNSCC"
"51";"GSM44833";0,290625982902811;-0,0821192400495439;0,24396243699423;-0,200548489765332;-0,131788568746322;-0,137793095018765;0,76370592475816;-0,135941758078961;-0,23629407524184;-0,192910844975649;-0,180898272778788;"HNSCC"
"52";"GSM44837";0,165981685524419;-0,107753672657482;0,319041044863957;-0,201034810797038;-0,140304585819506;-0,124722187988551;0,750809030119322;-0,180067879600255;-0,249190969880678;-0,0979594577940376;-0,134798195970151;"HNSCC"
